SeriesCode,SeriesName
SPURBTOTLINZS,Urban population (% of total population)
SHMEDCMHWP3,"Community health workers (per 1,000 people)"
SHXPDCHEXGDZS,Current health expenditure (% of GDP)
SHXPDCHEXPCCD,Current health expenditure per capita (current US$)
NYGDPPCAPKN,GDP per capita (constant LCU)
NYGDPMKTPKN,GDP (constant LCU)
SIPOVGINI,Gini index (World Bank estimate)
NYGNPMKTPKN,GNI (constant LCU)
NYGNPPCAPKN,GNI per capita (constant LCU)
SHMEDBEDSZS,"Hospital beds (per 1,000 people)"
SIDST10TH10,Income share held by highest 10%
SHMEDNUMWP3,"Nurses and midwives (per 1,000 people)"
ENURBLCTYURZS,Population in the largest city (% of urban population)
ENPOPDNST,Population density (people per sq. km of land area)
ENURBMCTYTLZS,Population in urban agglomerations of more than 1 million (% of total population)
ENURBMCTY,Population in urban agglomerations of more than 1 million
ENPOPSLUMURZS,Population living in slums (% of urban population)
SIDST50MD,Proportion of people living below 50 percent of median income (%)
SPRURTOTLZS,Rural population (% of total population)
IPJRNARTCSC,Scientific and technical journal articles
SPRURTOTLZG,Rural population growth (annual %)
GBXPDRSDVGDZS,Research and development expenditure (% of GDP)
SLUEMTOTLNEZS,"Unemployment, total (% of total labor force) (national estimate)"
SPURBTOTL,Urban population
SPURBGROW,Urban population growth (annual %)
SPURBTOTLINZS,Urban population (% of total population)
SHMEDCMHWP3,"Community health workers (per 1,000 people)"
SHXPDCHEXGDZS,Current health expenditure (% of GDP)
SHXPDCHEXPCCD,Current health expenditure per capita (current US$)
NYGDPPCAPKN,GDP per capita (constant LCU)
NYGDPMKTPKN,GDP (constant LCU)
SIPOVGINI,Gini index (World Bank estimate)
NYGNPMKTPKN,GNI (constant LCU)
NYGNPPCAPKN,GNI per capita (constant LCU)
SHMEDBEDSZS,"Hospital beds (per 1,000 people)"
SIDST10TH10,Income share held by highest 10%
SHMEDNUMWP3,"Nurses and midwives (per 1,000 people)"
ENURBLCTYURZS,Population in the largest city (% of urban population)
ENPOPDNST,Population density (people per sq. km of land area)
ENURBMCTYTLZS,Population in urban agglomerations of more than 1 million (% of total population)
ENURBMCTY,Population in urban agglomerations of more than 1 million
ENPOPSLUMURZS,Population living in slums (% of urban population)
SIDST50MD,Proportion of people living below 50 percent of median income (%)
SPRURTOTLZS,Rural population (% of total population)
IPJRNARTCSC,Scientific and technical journal articles
SPRURTOTLZG,Rural population growth (annual %)
GBXPDRSDVGDZS,Research and development expenditure (% of GDP)
SLUEMTOTLNEZS,"Unemployment, total (% of total labor force) (national estimate)"
SPURBTOTL,Urban population
SPURBGROW,Urban population growth (annual %)
SPURBTOTLINZS,Urban population (% of total population)
SHMEDCMHWP3,"Community health workers (per 1,000 people)"
SHXPDCHEXGDZS,Current health expenditure (% of GDP)
SHXPDCHEXPCCD,Current health expenditure per capita (current US$)
NYGDPPCAPKN,GDP per capita (constant LCU)
NYGDPMKTPKN,GDP (constant LCU)
SIPOVGINI,Gini index (World Bank estimate)
NYGNPMKTPKN,GNI (constant LCU)
NYGNPPCAPKN,GNI per capita (constant LCU)
SHMEDBEDSZS,"Hospital beds (per 1,000 people)"
SIDST10TH10,Income share held by highest 10%
SHMEDNUMWP3,"Nurses and midwives (per 1,000 people)"
ENURBLCTYURZS,Population in the largest city (% of urban population)
ENPOPDNST,Population density (people per sq. km of land area)
ENURBMCTYTLZS,Population in urban agglomerations of more than 1 million (% of total population)
ENURBMCTY,Population in urban agglomerations of more than 1 million
ENPOPSLUMURZS,Population living in slums (% of urban population)
SIDST50MD,Proportion of people living below 50 percent of median income (%)
SPRURTOTLZS,Rural population (% of total population)
IPJRNARTCSC,Scientific and technical journal articles
SPRURTOTLZG,Rural population growth (annual %)
GBXPDRSDVGDZS,Research and development expenditure (% of GDP)
SLUEMTOTLNEZS,"Unemployment, total (% of total labor force) (national estimate)"
SPURBTOTL,Urban population
SPURBGROW,Urban population growth (annual %)
SPURBTOTLINZS,Urban population (% of total population)
SHMEDCMHWP3,"Community health workers (per 1,000 people)"
SHXPDCHEXGDZS,Current health expenditure (% of GDP)
SHXPDCHEXPCCD,Current health expenditure per capita (current US$)
NYGDPPCAPKN,GDP per capita (constant LCU)
NYGDPMKTPKN,GDP (constant LCU)
SIPOVGINI,Gini index (World Bank estimate)
NYGNPMKTPKN,GNI (constant LCU)
NYGNPPCAPKN,GNI per capita (constant LCU)
SHMEDBEDSZS,"Hospital beds (per 1,000 people)"
SIDST10TH10,Income share held by highest 10%
SHMEDNUMWP3,"Nurses and midwives (per 1,000 people)"
ENURBLCTYURZS,Population in the largest city (% of urban population)
ENPOPDNST,Population density (people per sq. km of land area)
ENURBMCTYTLZS,Population in urban agglomerations of more than 1 million (% of total population)
ENURBMCTY,Population in urban agglomerations of more than 1 million
ENPOPSLUMURZS,Population living in slums (% of urban population)
SIDST50MD,Proportion of people living below 50 percent of median income (%)
SPRURTOTLZS,Rural population (% of total population)
IPJRNARTCSC,Scientific and technical journal articles
SPRURTOTLZG,Rural population growth (annual %)
GBXPDRSDVGDZS,Research and development expenditure (% of GDP)
SLUEMTOTLNEZS,"Unemployment, total (% of total labor force) (national estimate)"
SPURBTOTL,Urban population
SPURBGROW,Urban population growth (annual %)
SPURBTOTLINZS,Urban population (% of total population)
SHMEDCMHWP3,"Community health workers (per 1,000 people)"
SHXPDCHEXGDZS,Current health expenditure (% of GDP)
SHXPDCHEXPCCD,Current health expenditure per capita (current US$)
NYGDPPCAPKN,GDP per capita (constant LCU)
NYGDPMKTPKN,GDP (constant LCU)
SIPOVGINI,Gini index (World Bank estimate)
NYGNPMKTPKN,GNI (constant LCU)
NYGNPPCAPKN,GNI per capita (constant LCU)
SHMEDBEDSZS,"Hospital beds (per 1,000 people)"
SIDST10TH10,Income share held by highest 10%
SHMEDNUMWP3,"Nurses and midwives (per 1,000 people)"
ENURBLCTYURZS,Population in the largest city (% of urban population)
ENPOPDNST,Population density (people per sq. km of land area)
ENURBMCTYTLZS,Population in urban agglomerations of more than 1 million (% of total population)
ENURBMCTY,Population in urban agglomerations of more than 1 million
ENPOPSLUMURZS,Population living in slums (% of urban population)
SIDST50MD,Proportion of people living below 50 percent of median income (%)
SPRURTOTLZS,Rural population (% of total population)
IPJRNARTCSC,Scientific and technical journal articles
SPRURTOTLZG,Rural population growth (annual %)
GBXPDRSDVGDZS,Research and development expenditure (% of GDP)
SLUEMTOTLNEZS,"Unemployment, total (% of total labor force) (national estimate)"
SPURBTOTL,Urban population
SPURBGROW,Urban population growth (annual %)
SPURBTOTLINZS,Urban population (% of total population)
SHMEDCMHWP3,"Community health workers (per 1,000 people)"
SHXPDCHEXGDZS,Current health expenditure (% of GDP)
SHXPDCHEXPCCD,Current health expenditure per capita (current US$)
NYGDPPCAPKN,GDP per capita (constant LCU)
NYGDPMKTPKN,GDP (constant LCU)
SIPOVGINI,Gini index (World Bank estimate)
NYGNPMKTPKN,GNI (constant LCU)
NYGNPPCAPKN,GNI per capita (constant LCU)
SHMEDBEDSZS,"Hospital beds (per 1,000 people)"
SIDST10TH10,Income share held by highest 10%
SHMEDNUMWP3,"Nurses and midwives (per 1,000 people)"
ENURBLCTYURZS,Population in the largest city (% of urban population)
ENPOPDNST,Population density (people per sq. km of land area)
ENURBMCTYTLZS,Population in urban agglomerations of more than 1 million (% of total population)
ENURBMCTY,Population in urban agglomerations of more than 1 million
ENPOPSLUMURZS,Population living in slums (% of urban population)
SIDST50MD,Proportion of people living below 50 percent of median income (%)
SPRURTOTLZS,Rural population (% of total population)
IPJRNARTCSC,Scientific and technical journal articles
SPRURTOTLZG,Rural population growth (annual %)
GBXPDRSDVGDZS,Research and development expenditure (% of GDP)
SLUEMTOTLNEZS,"Unemployment, total (% of total labor force) (national estimate)"
SPURBTOTL,Urban population
SPURBGROW,Urban population growth (annual %)
SPURBTOTLINZS,Urban population (% of total population)
SHMEDCMHWP3,"Community health workers (per 1,000 people)"
SHXPDCHEXGDZS,Current health expenditure (% of GDP)
SHXPDCHEXPCCD,Current health expenditure per capita (current US$)
NYGDPPCAPKN,GDP per capita (constant LCU)
NYGDPMKTPKN,GDP (constant LCU)
SIPOVGINI,Gini index (World Bank estimate)
NYGNPMKTPKN,GNI (constant LCU)
NYGNPPCAPKN,GNI per capita (constant LCU)
SHMEDBEDSZS,"Hospital beds (per 1,000 people)"
SIDST10TH10,Income share held by highest 10%
SHMEDNUMWP3,"Nurses and midwives (per 1,000 people)"
ENURBLCTYURZS,Population in the largest city (% of urban population)
ENPOPDNST,Population density (people per sq. km of land area)
ENURBMCTYTLZS,Population in urban agglomerations of more than 1 million (% of total population)
ENURBMCTY,Population in urban agglomerations of more than 1 million
ENPOPSLUMURZS,Population living in slums (% of urban population)
SIDST50MD,Proportion of people living below 50 percent of median income (%)
SPRURTOTLZS,Rural population (% of total population)
IPJRNARTCSC,Scientific and technical journal articles
SPRURTOTLZG,Rural population growth (annual %)
GBXPDRSDVGDZS,Research and development expenditure (% of GDP)
SLUEMTOTLNEZS,"Unemployment, total (% of total labor force) (national estimate)"
SPURBTOTL,Urban population
SPURBGROW,Urban population growth (annual %)
SPURBTOTLINZS,Urban population (% of total population)
SHMEDCMHWP3,"Community health workers (per 1,000 people)"
SHXPDCHEXGDZS,Current health expenditure (% of GDP)
SHXPDCHEXPCCD,Current health expenditure per capita (current US$)
NYGDPPCAPKN,GDP per capita (constant LCU)
NYGDPMKTPKN,GDP (constant LCU)
SIPOVGINI,Gini index (World Bank estimate)
NYGNPMKTPKN,GNI (constant LCU)
NYGNPPCAPKN,GNI per capita (constant LCU)
SHMEDBEDSZS,"Hospital beds (per 1,000 people)"
SIDST10TH10,Income share held by highest 10%
SHMEDNUMWP3,"Nurses and midwives (per 1,000 people)"
ENURBLCTYURZS,Population in the largest city (% of urban population)
ENPOPDNST,Population density (people per sq. km of land area)
ENURBMCTYTLZS,Population in urban agglomerations of more than 1 million (% of total population)
ENURBMCTY,Population in urban agglomerations of more than 1 million
ENPOPSLUMURZS,Population living in slums (% of urban population)
SIDST50MD,Proportion of people living below 50 percent of median income (%)
SPRURTOTLZS,Rural population (% of total population)
IPJRNARTCSC,Scientific and technical journal articles
SPRURTOTLZG,Rural population growth (annual %)
GBXPDRSDVGDZS,Research and development expenditure (% of GDP)
SLUEMTOTLNEZS,"Unemployment, total (% of total labor force) (national estimate)"
SPURBTOTL,Urban population
SPURBGROW,Urban population growth (annual %)
SPURBTOTLINZS,Urban population (% of total population)
SHMEDCMHWP3,"Community health workers (per 1,000 people)"
SHXPDCHEXGDZS,Current health expenditure (% of GDP)
SHXPDCHEXPCCD,Current health expenditure per capita (current US$)
NYGDPPCAPKN,GDP per capita (constant LCU)
NYGDPMKTPKN,GDP (constant LCU)
SIPOVGINI,Gini index (World Bank estimate)
NYGNPMKTPKN,GNI (constant LCU)
NYGNPPCAPKN,GNI per capita (constant LCU)
SHMEDBEDSZS,"Hospital beds (per 1,000 people)"
SIDST10TH10,Income share held by highest 10%
SHMEDNUMWP3,"Nurses and midwives (per 1,000 people)"
ENURBLCTYURZS,Population in the largest city (% of urban population)
ENPOPDNST,Population density (people per sq. km of land area)
ENURBMCTYTLZS,Population in urban agglomerations of more than 1 million (% of total population)
ENURBMCTY,Population in urban agglomerations of more than 1 million
ENPOPSLUMURZS,Population living in slums (% of urban population)
SIDST50MD,Proportion of people living below 50 percent of median income (%)
SPRURTOTLZS,Rural population (% of total population)
IPJRNARTCSC,Scientific and technical journal articles
SPRURTOTLZG,Rural population growth (annual %)
GBXPDRSDVGDZS,Research and development expenditure (% of GDP)
SLUEMTOTLNEZS,"Unemployment, total (% of total labor force) (national estimate)"
SPURBTOTL,Urban population
SPURBGROW,Urban population growth (annual %)
SPURBTOTLINZS,Urban population (% of total population)
SHMEDCMHWP3,"Community health workers (per 1,000 people)"
SHXPDCHEXGDZS,Current health expenditure (% of GDP)
SHXPDCHEXPCCD,Current health expenditure per capita (current US$)
NYGDPPCAPKN,GDP per capita (constant LCU)
NYGDPMKTPKN,GDP (constant LCU)
SIPOVGINI,Gini index (World Bank estimate)
NYGNPMKTPKN,GNI (constant LCU)
NYGNPPCAPKN,GNI per capita (constant LCU)
SHMEDBEDSZS,"Hospital beds (per 1,000 people)"
SIDST10TH10,Income share held by highest 10%
SHMEDNUMWP3,"Nurses and midwives (per 1,000 people)"
ENURBLCTYURZS,Population in the largest city (% of urban population)
ENPOPDNST,Population density (people per sq. km of land area)
ENURBMCTYTLZS,Population in urban agglomerations of more than 1 million (% of total population)
ENURBMCTY,Population in urban agglomerations of more than 1 million
ENPOPSLUMURZS,Population living in slums (% of urban population)
SIDST50MD,Proportion of people living below 50 percent of median income (%)
SPRURTOTLZS,Rural population (% of total population)
IPJRNARTCSC,Scientific and technical journal articles
SPRURTOTLZG,Rural population growth (annual %)
GBXPDRSDVGDZS,Research and development expenditure (% of GDP)
SLUEMTOTLNEZS,"Unemployment, total (% of total labor force) (national estimate)"
SPURBTOTL,Urban population
SPURBGROW,Urban population growth (annual %)
SPURBTOTLINZS,Urban population (% of total population)
SHMEDCMHWP3,"Community health workers (per 1,000 people)"
SHXPDCHEXGDZS,Current health expenditure (% of GDP)
SHXPDCHEXPCCD,Current health expenditure per capita (current US$)
NYGDPPCAPKN,GDP per capita (constant LCU)
NYGDPMKTPKN,GDP (constant LCU)
SIPOVGINI,Gini index (World Bank estimate)
NYGNPMKTPKN,GNI (constant LCU)
NYGNPPCAPKN,GNI per capita (constant LCU)
SHMEDBEDSZS,"Hospital beds (per 1,000 people)"
SIDST10TH10,Income share held by highest 10%
SHMEDNUMWP3,"Nurses and midwives (per 1,000 people)"
ENURBLCTYURZS,Population in the largest city (% of urban population)
ENPOPDNST,Population density (people per sq. km of land area)
ENURBMCTYTLZS,Population in urban agglomerations of more than 1 million (% of total population)
ENURBMCTY,Population in urban agglomerations of more than 1 million
ENPOPSLUMURZS,Population living in slums (% of urban population)
SIDST50MD,Proportion of people living below 50 percent of median income (%)
SPRURTOTLZS,Rural population (% of total population)
IPJRNARTCSC,Scientific and technical journal articles
SPRURTOTLZG,Rural population growth (annual %)
GBXPDRSDVGDZS,Research and development expenditure (% of GDP)
SLUEMTOTLNEZS,"Unemployment, total (% of total labor force) (national estimate)"
SPURBTOTL,Urban population
SPURBGROW,Urban population growth (annual %)
SPURBTOTLINZS,Urban population (% of total population)
SHMEDCMHWP3,"Community health workers (per 1,000 people)"
SHXPDCHEXGDZS,Current health expenditure (% of GDP)
SHXPDCHEXPCCD,Current health expenditure per capita (current US$)
NYGDPPCAPKN,GDP per capita (constant LCU)
NYGDPMKTPKN,GDP (constant LCU)
SIPOVGINI,Gini index (World Bank estimate)
NYGNPMKTPKN,GNI (constant LCU)
NYGNPPCAPKN,GNI per capita (constant LCU)
SHMEDBEDSZS,"Hospital beds (per 1,000 people)"
SIDST10TH10,Income share held by highest 10%
SHMEDNUMWP3,"Nurses and midwives (per 1,000 people)"
ENURBLCTYURZS,Population in the largest city (% of urban population)
ENPOPDNST,Population density (people per sq. km of land area)
ENURBMCTYTLZS,Population in urban agglomerations of more than 1 million (% of total population)
ENURBMCTY,Population in urban agglomerations of more than 1 million
ENPOPSLUMURZS,Population living in slums (% of urban population)
SIDST50MD,Proportion of people living below 50 percent of median income (%)
SPRURTOTLZS,Rural population (% of total population)
IPJRNARTCSC,Scientific and technical journal articles
SPRURTOTLZG,Rural population growth (annual %)
GBXPDRSDVGDZS,Research and development expenditure (% of GDP)
SLUEMTOTLNEZS,"Unemployment, total (% of total labor force) (national estimate)"
SPURBTOTL,Urban population
SPURBGROW,Urban population growth (annual %)
SPURBTOTLINZS,Urban population (% of total population)
SHMEDCMHWP3,"Community health workers (per 1,000 people)"
SHXPDCHEXGDZS,Current health expenditure (% of GDP)
SHXPDCHEXPCCD,Current health expenditure per capita (current US$)
NYGDPPCAPKN,GDP per capita (constant LCU)
NYGDPMKTPKN,GDP (constant LCU)
SIPOVGINI,Gini index (World Bank estimate)
NYGNPMKTPKN,GNI (constant LCU)
NYGNPPCAPKN,GNI per capita (constant LCU)
SHMEDBEDSZS,"Hospital beds (per 1,000 people)"
SIDST10TH10,Income share held by highest 10%
SHMEDNUMWP3,"Nurses and midwives (per 1,000 people)"
ENURBLCTYURZS,Population in the largest city (% of urban population)
ENPOPDNST,Population density (people per sq. km of land area)
ENURBMCTYTLZS,Population in urban agglomerations of more than 1 million (% of total population)
ENURBMCTY,Population in urban agglomerations of more than 1 million
ENPOPSLUMURZS,Population living in slums (% of urban population)
SIDST50MD,Proportion of people living below 50 percent of median income (%)
SPRURTOTLZS,Rural population (% of total population)
IPJRNARTCSC,Scientific and technical journal articles
SPRURTOTLZG,Rural population growth (annual %)
GBXPDRSDVGDZS,Research and development expenditure (% of GDP)
SLUEMTOTLNEZS,"Unemployment, total (% of total labor force) (national estimate)"
SPURBTOTL,Urban population
SPURBGROW,Urban population growth (annual %)
SPURBTOTLINZS,Urban population (% of total population)
SHMEDCMHWP3,"Community health workers (per 1,000 people)"
SHXPDCHEXGDZS,Current health expenditure (% of GDP)
SHXPDCHEXPCCD,Current health expenditure per capita (current US$)
NYGDPPCAPKN,GDP per capita (constant LCU)
NYGDPMKTPKN,GDP (constant LCU)
SIPOVGINI,Gini index (World Bank estimate)
NYGNPMKTPKN,GNI (constant LCU)
NYGNPPCAPKN,GNI per capita (constant LCU)
SHMEDBEDSZS,"Hospital beds (per 1,000 people)"
SIDST10TH10,Income share held by highest 10%
SHMEDNUMWP3,"Nurses and midwives (per 1,000 people)"
ENURBLCTYURZS,Population in the largest city (% of urban population)
ENPOPDNST,Population density (people per sq. km of land area)
ENURBMCTYTLZS,Population in urban agglomerations of more than 1 million (% of total population)
ENURBMCTY,Population in urban agglomerations of more than 1 million
ENPOPSLUMURZS,Population living in slums (% of urban population)
SIDST50MD,Proportion of people living below 50 percent of median income (%)
SPRURTOTLZS,Rural population (% of total population)
IPJRNARTCSC,Scientific and technical journal articles
SPRURTOTLZG,Rural population growth (annual %)
GBXPDRSDVGDZS,Research and development expenditure (% of GDP)
SLUEMTOTLNEZS,"Unemployment, total (% of total labor force) (national estimate)"
SPURBTOTL,Urban population
SPURBGROW,Urban population growth (annual %)
SPURBTOTLINZS,Urban population (% of total population)
SHMEDCMHWP3,"Community health workers (per 1,000 people)"
SHXPDCHEXGDZS,Current health expenditure (% of GDP)
SHXPDCHEXPCCD,Current health expenditure per capita (current US$)
NYGDPPCAPKN,GDP per capita (constant LCU)
NYGDPMKTPKN,GDP (constant LCU)
SIPOVGINI,Gini index (World Bank estimate)
NYGNPMKTPKN,GNI (constant LCU)
NYGNPPCAPKN,GNI per capita (constant LCU)
SHMEDBEDSZS,"Hospital beds (per 1,000 people)"
SIDST10TH10,Income share held by highest 10%
SHMEDNUMWP3,"Nurses and midwives (per 1,000 people)"
ENURBLCTYURZS,Population in the largest city (% of urban population)
ENPOPDNST,Population density (people per sq. km of land area)
ENURBMCTYTLZS,Population in urban agglomerations of more than 1 million (% of total population)
ENURBMCTY,Population in urban agglomerations of more than 1 million
ENPOPSLUMURZS,Population living in slums (% of urban population)
SIDST50MD,Proportion of people living below 50 percent of median income (%)
SPRURTOTLZS,Rural population (% of total population)
IPJRNARTCSC,Scientific and technical journal articles
SPRURTOTLZG,Rural population growth (annual %)
GBXPDRSDVGDZS,Research and development expenditure (% of GDP)
SLUEMTOTLNEZS,"Unemployment, total (% of total labor force) (national estimate)"
SPURBTOTL,Urban population
SPURBGROW,Urban population growth (annual %)
SPURBTOTLINZS,Urban population (% of total population)
SHMEDCMHWP3,"Community health workers (per 1,000 people)"
SHXPDCHEXGDZS,Current health expenditure (% of GDP)
SHXPDCHEXPCCD,Current health expenditure per capita (current US$)
NYGDPPCAPKN,GDP per capita (constant LCU)
NYGDPMKTPKN,GDP (constant LCU)
SIPOVGINI,Gini index (World Bank estimate)
NYGNPMKTPKN,GNI (constant LCU)
NYGNPPCAPKN,GNI per capita (constant LCU)
SHMEDBEDSZS,"Hospital beds (per 1,000 people)"
SIDST10TH10,Income share held by highest 10%
SHMEDNUMWP3,"Nurses and midwives (per 1,000 people)"
ENURBLCTYURZS,Population in the largest city (% of urban population)
ENPOPDNST,Population density (people per sq. km of land area)
ENURBMCTYTLZS,Population in urban agglomerations of more than 1 million (% of total population)
ENURBMCTY,Population in urban agglomerations of more than 1 million
ENPOPSLUMURZS,Population living in slums (% of urban population)
SIDST50MD,Proportion of people living below 50 percent of median income (%)
SPRURTOTLZS,Rural population (% of total population)
IPJRNARTCSC,Scientific and technical journal articles
SPRURTOTLZG,Rural population growth (annual %)
GBXPDRSDVGDZS,Research and development expenditure (% of GDP)
SLUEMTOTLNEZS,"Unemployment, total (% of total labor force) (national estimate)"
SPURBTOTL,Urban population
SPURBGROW,Urban population growth (annual %)
SPURBTOTLINZS,Urban population (% of total population)
SHMEDCMHWP3,"Community health workers (per 1,000 people)"
SHXPDCHEXGDZS,Current health expenditure (% of GDP)
SHXPDCHEXPCCD,Current health expenditure per capita (current US$)
NYGDPPCAPKN,GDP per capita (constant LCU)
NYGDPMKTPKN,GDP (constant LCU)
SIPOVGINI,Gini index (World Bank estimate)
NYGNPMKTPKN,GNI (constant LCU)
NYGNPPCAPKN,GNI per capita (constant LCU)
SHMEDBEDSZS,"Hospital beds (per 1,000 people)"
SIDST10TH10,Income share held by highest 10%
SHMEDNUMWP3,"Nurses and midwives (per 1,000 people)"
ENURBLCTYURZS,Population in the largest city (% of urban population)
ENPOPDNST,Population density (people per sq. km of land area)
ENURBMCTYTLZS,Population in urban agglomerations of more than 1 million (% of total population)
ENURBMCTY,Population in urban agglomerations of more than 1 million
ENPOPSLUMURZS,Population living in slums (% of urban population)
SIDST50MD,Proportion of people living below 50 percent of median income (%)
SPRURTOTLZS,Rural population (% of total population)
IPJRNARTCSC,Scientific and technical journal articles
SPRURTOTLZG,Rural population growth (annual %)
GBXPDRSDVGDZS,Research and development expenditure (% of GDP)
SLUEMTOTLNEZS,"Unemployment, total (% of total labor force) (national estimate)"
SPURBTOTL,Urban population
SPURBGROW,Urban population growth (annual %)
SPURBTOTLINZS,Urban population (% of total population)
SHMEDCMHWP3,"Community health workers (per 1,000 people)"
SHXPDCHEXGDZS,Current health expenditure (% of GDP)
SHXPDCHEXPCCD,Current health expenditure per capita (current US$)
NYGDPPCAPKN,GDP per capita (constant LCU)
NYGDPMKTPKN,GDP (constant LCU)
SIPOVGINI,Gini index (World Bank estimate)
NYGNPMKTPKN,GNI (constant LCU)
NYGNPPCAPKN,GNI per capita (constant LCU)
SHMEDBEDSZS,"Hospital beds (per 1,000 people)"
SIDST10TH10,Income share held by highest 10%
SHMEDNUMWP3,"Nurses and midwives (per 1,000 people)"
ENURBLCTYURZS,Population in the largest city (% of urban population)
ENPOPDNST,Population density (people per sq. km of land area)
ENURBMCTYTLZS,Population in urban agglomerations of more than 1 million (% of total population)
ENURBMCTY,Population in urban agglomerations of more than 1 million
ENPOPSLUMURZS,Population living in slums (% of urban population)
SIDST50MD,Proportion of people living below 50 percent of median income (%)
SPRURTOTLZS,Rural population (% of total population)
IPJRNARTCSC,Scientific and technical journal articles
SPRURTOTLZG,Rural population growth (annual %)
GBXPDRSDVGDZS,Research and development expenditure (% of GDP)
SLUEMTOTLNEZS,"Unemployment, total (% of total labor force) (national estimate)"
SPURBTOTL,Urban population
SPURBGROW,Urban population growth (annual %)
SPURBTOTLINZS,Urban population (% of total population)
SHMEDCMHWP3,"Community health workers (per 1,000 people)"
SHXPDCHEXGDZS,Current health expenditure (% of GDP)
SHXPDCHEXPCCD,Current health expenditure per capita (current US$)
NYGDPPCAPKN,GDP per capita (constant LCU)
NYGDPMKTPKN,GDP (constant LCU)
SIPOVGINI,Gini index (World Bank estimate)
NYGNPMKTPKN,GNI (constant LCU)
NYGNPPCAPKN,GNI per capita (constant LCU)
SHMEDBEDSZS,"Hospital beds (per 1,000 people)"
SIDST10TH10,Income share held by highest 10%
SHMEDNUMWP3,"Nurses and midwives (per 1,000 people)"
ENURBLCTYURZS,Population in the largest city (% of urban population)
ENPOPDNST,Population density (people per sq. km of land area)
ENURBMCTYTLZS,Population in urban agglomerations of more than 1 million (% of total population)
ENURBMCTY,Population in urban agglomerations of more than 1 million
ENPOPSLUMURZS,Population living in slums (% of urban population)
SIDST50MD,Proportion of people living below 50 percent of median income (%)
SPRURTOTLZS,Rural population (% of total population)
IPJRNARTCSC,Scientific and technical journal articles
SPRURTOTLZG,Rural population growth (annual %)
GBXPDRSDVGDZS,Research and development expenditure (% of GDP)
SLUEMTOTLNEZS,"Unemployment, total (% of total labor force) (national estimate)"
SPURBTOTL,Urban population
SPURBGROW,Urban population growth (annual %)
SPURBTOTLINZS,Urban population (% of total population)
SHMEDCMHWP3,"Community health workers (per 1,000 people)"
SHXPDCHEXGDZS,Current health expenditure (% of GDP)
SHXPDCHEXPCCD,Current health expenditure per capita (current US$)
NYGDPPCAPKN,GDP per capita (constant LCU)
NYGDPMKTPKN,GDP (constant LCU)
SIPOVGINI,Gini index (World Bank estimate)
NYGNPMKTPKN,GNI (constant LCU)
NYGNPPCAPKN,GNI per capita (constant LCU)
SHMEDBEDSZS,"Hospital beds (per 1,000 people)"
SIDST10TH10,Income share held by highest 10%
SHMEDNUMWP3,"Nurses and midwives (per 1,000 people)"
ENURBLCTYURZS,Population in the largest city (% of urban population)
ENPOPDNST,Population density (people per sq. km of land area)
ENURBMCTYTLZS,Population in urban agglomerations of more than 1 million (% of total population)
ENURBMCTY,Population in urban agglomerations of more than 1 million
ENPOPSLUMURZS,Population living in slums (% of urban population)
SIDST50MD,Proportion of people living below 50 percent of median income (%)
SPRURTOTLZS,Rural population (% of total population)
IPJRNARTCSC,Scientific and technical journal articles
SPRURTOTLZG,Rural population growth (annual %)
GBXPDRSDVGDZS,Research and development expenditure (% of GDP)
SLUEMTOTLNEZS,"Unemployment, total (% of total labor force) (national estimate)"
SPURBTOTL,Urban population
SPURBGROW,Urban population growth (annual %)
SPURBTOTLINZS,Urban population (% of total population)
SHMEDCMHWP3,"Community health workers (per 1,000 people)"
SHXPDCHEXGDZS,Current health expenditure (% of GDP)
SHXPDCHEXPCCD,Current health expenditure per capita (current US$)
NYGDPPCAPKN,GDP per capita (constant LCU)
NYGDPMKTPKN,GDP (constant LCU)
SIPOVGINI,Gini index (World Bank estimate)
NYGNPMKTPKN,GNI (constant LCU)
NYGNPPCAPKN,GNI per capita (constant LCU)
SHMEDBEDSZS,"Hospital beds (per 1,000 people)"
SIDST10TH10,Income share held by highest 10%
SHMEDNUMWP3,"Nurses and midwives (per 1,000 people)"
ENURBLCTYURZS,Population in the largest city (% of urban population)
ENPOPDNST,Population density (people per sq. km of land area)
ENURBMCTYTLZS,Population in urban agglomerations of more than 1 million (% of total population)
ENURBMCTY,Population in urban agglomerations of more than 1 million
ENPOPSLUMURZS,Population living in slums (% of urban population)
SIDST50MD,Proportion of people living below 50 percent of median income (%)
SPRURTOTLZS,Rural population (% of total population)
IPJRNARTCSC,Scientific and technical journal articles
SPRURTOTLZG,Rural population growth (annual %)
GBXPDRSDVGDZS,Research and development expenditure (% of GDP)
SLUEMTOTLNEZS,"Unemployment, total (% of total labor force) (national estimate)"
SPURBTOTL,Urban population
SPURBGROW,Urban population growth (annual %)
SPURBTOTLINZS,Urban population (% of total population)
SHMEDCMHWP3,"Community health workers (per 1,000 people)"
SHXPDCHEXGDZS,Current health expenditure (% of GDP)
SHXPDCHEXPCCD,Current health expenditure per capita (current US$)
NYGDPPCAPKN,GDP per capita (constant LCU)
NYGDPMKTPKN,GDP (constant LCU)
SIPOVGINI,Gini index (World Bank estimate)
NYGNPMKTPKN,GNI (constant LCU)
NYGNPPCAPKN,GNI per capita (constant LCU)
